"col0","col1","col2","input_params","return_value"
"ControlFlowNode for sorted","neighContours_old","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/findKeys.py:0","conj_lt|conj_rt|json_|pts_|txt_","Attribute()"
"ControlFlowNode for dict","findHighVarianceColumns","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet|start_hdr_row_|tbl","Tuple"
"ControlFlowNode for dict","createDBRec","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","mode|self|summary_D","insertRec"
"ControlFlowNode for dict","createDBRec","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","mode|self|summary_D","insertRec"
"ControlFlowNode for dict","processNeighbours","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/findKeys.py:0","fileNm|json_|json_raw","key_tuples_"
"ControlFlowNode for dict","neighContours","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/findKeys.py:0","conj_lt|conj_rt|json_|pts_|txt_","Tuple"
"ControlFlowNode for dict","neighContours_old","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/findKeys.py:0","conj_lt|conj_rt|json_|pts_|txt_","Attribute()"
"ControlFlowNode for dict","findSequenceInfo","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","seqInfo"
"ControlFlowNode for copy","find_tables","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet","Subscript"
"ControlFlowNode for copy","find_tables","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|sheet","table_bounds_"
"ControlFlowNode for type","is_hdr_row_format","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet|tbl_bound","False"
"ControlFlowNode for type","is_hdr_row_format","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet|tbl_bound","True"
"ControlFlowNode for type","returnEntireSheet","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet_name|tbl_","Tuple"
"ControlFlowNode for set","find_tables","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet","Subscript"
"ControlFlowNode for set","findHighVarianceColumns","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet|start_hdr_row_|tbl","Tuple"
"ControlFlowNode for set","returnSummary","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|tbl","Tuple"
"ControlFlowNode for set","returnEntireSheet","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet_name|tbl_","Tuple"
